KO	B80_1	B80_2	B80_3	B80_4	B80_5	B80_6	LF_1	LF_2	LF_3	LF_4	LF_5	LF_6
ko00627	20.9676730837	20.6090997463	22.6609489189	19.6535949254	20.1103189924	20.3971261185	14.0581746998	18.1473915358	12.5403464156	12.1804032271	10.8614569176	17.2115190836
ko00630	39.3484675798	37.7913317685	41.2118785263	37.2612068762	37.3419468282	38.5264945058	29.4932301013	35.1506022092	26.6986390817	26.8919277462	25.0106550693	33.5189421394
ko00633	3.12481090826	2.84636176115	3.41875875648	2.9707359634	2.76353662965	3.01766300388	2.02041635818	2.36450292787	1.76900474259	1.88225585019	1.62828214189	2.39954390369
ko00640	37.2570611518	37.8913863006	40.0575561362	35.8711533473	37.2115402993	37.858695969	26.5124418065	34.9409768432	24.383686164	23.1686951425	21.0762299538	32.4747644386
ko00642	4.15005076984	4.52898499182	4.52769889053	4.15219185512	4.41612354504	4.27881896878	2.75703655369	4.00429198829	2.87244827823	2.57597914449	2.31625441696	3.84582884014
ko00643	4.76558841204	4.72594067857	5.19283198909	4.46140967293	4.68192503966	4.65711620858	2.89268549774	3.95877694969	2.74154581071	2.55250127262	2.25267735798	3.78395530963
ko00650	41.2325051288	40.876306992	43.7454844939	39.0557926757	40.2252632786	41.1107726836	28.5181137142	37.8392833378	25.67896419	24.7103675937	22.3677357978	35.1026923825
ko00660	10.1404977516	9.93866325248	10.2166874929	9.56839672696	9.86607671872	9.89104899589	8.32525630247	9.56052036199	7.90669461819	7.77796288583	7.32839086708	9.1490091396
ko00670	15.8373707441	16.0170234962	15.9369911773	15.4773740184	15.9959672025	15.7953306713	14.1734574795	15.5639140271	13.851089422	13.6401036605	13.2052595814	15.145667969
ko00680	29.7043123277	27.696279963	29.8120905752	28.5341335157	27.1437472525	28.4620653473	27.3630899349	26.9631188448	25.8500068733	26.7811714255	25.6369257951	27.1131755264
ko00720	37.3281803676	36.9499490243	38.4008292628	35.5011200981	36.6404502972	36.9609286193	29.3701296257	34.6231534469	27.6648910578	27.0066330387	25.4290703996	33.1308536779
ko00740	11.6752595478	11.7501718946	11.8410958385	11.5847619497	11.7565222377	11.6918884258	11.0920555646	11.6989619377	10.8674135679	10.7833464452	10.431611851	11.3565329609
ko00750	5.65845369584	5.72041634066	5.61848233557	5.42334991865	5.68672234858	5.57894430033	5.02692901331	5.70684721853	4.84205100007	4.76924738149	4.52483011688	5.42956140506
ko00760	13.6749279897	13.5915546388	13.5392669166	13.1432782324	13.5335333805	13.4453641902	12.0456889737	13.5688880756	11.4871125163	11.4243756459	10.9066865996	12.9135891951
ko00770	17.9524628551	17.6885980511	17.7167632247	17.4712665362	17.6587030064	17.5532950538	16.8417638127	17.4487955816	16.1732077806	16.2099588135	15.6592552324	17.1327629183
ko00780	14.6893300454	14.6749176091	14.3472490439	14.1066333388	14.5961850882	14.3158354951	12.959631577	14.467244477	12.1818166197	11.9619140173	11.5243136722	13.8911379426
ko00790	17.9421845535	17.6586765299	17.9912151161	17.2992666305	17.5911966514	17.7693753826	15.7863874214	17.4933956614	15.2029692762	15.1667515079	14.4117695026	16.6951579543
ko00900	16.5125888472	16.3138440382	16.8117119164	16.1608696677	16.1468052981	16.3365297735	15.4810329899	15.8649853607	14.8663997526	14.907800762	14.3278200598	15.6774444464
ko00903	14.4166856622	14.8714939422	15.5343254194	13.7083500366	14.4919821869	14.4773528812	9.61482476064	13.1947364919	8.80809677641	8.12193993244	7.29645284045	12.2985663019
ko00910	46.3476179622	45.3119709794	47.541008747	43.817978164	45.5420385696	45.6699845522	34.1515729505	41.3959276018	31.7444669737	31.0851497061	29.3793693939	39.5846164725
ko00920	14.8442712974	14.5578158712	14.4252527547	14.2517508902	14.5022075266	14.346716605	13.1487244482	15.0545149055	12.3648532545	12.2939515942	11.6335009513	14.0842540704
ko00930	10.8345939449	11.442350096	11.9829035556	10.3413115759	11.1152883164	11.1803462648	6.96743672435	10.4792387543	6.38530139528	5.69936909004	4.9668116336	9.37484752594
ko00944	0.158919949437	0.15318775636	0.123101972812	0.106020232509	0.196708778502	0.142309598065	0.0649006788721	0.130955549641	0.0708639769056	0.0507350332423	0.0446316933949	0.109604539749
ko00960	4.06993804008	4.08608957489	4.01081070847	3.8069422501	4.07834330384	3.86636159608	3.40019575611	3.80022291722	3.27508763489	3.22279297206	3.09970100571	3.739211908
ko00980	10.924860642	11.2436161889	11.4396985876	10.6801943075	11.0059631888	10.9674866653	9.44046379139	11.1374600745	9.19314042202	8.9217301433	8.61557488448	10.387681864
ko00982	11.3833640715	11.7008559167	11.9392252641	10.8402150588	11.5257927027	11.3880031479	9.27936655331	11.3926670216	8.95771187023	8.60932944606	8.24055449851	10.5086180989
ko00983	6.30693992581	6.87628328236	6.09570600932	6.07428018959	6.93912578124	6.34923780932	4.8733232109	6.4844956082	4.89277613582	4.35670322551	4.0518075564	6.1079427935
ko01040	10.3995482521	10.3319581763	10.2910182135	9.45101044639	10.3132394259	9.98995890291	8.12204640424	9.70714665957	7.52226957179	7.35488299628	6.81857841805	9.20197288172
ko02010	84.9361128955	77.146311971	83.2052141315	79.9844365317	75.8616234399	77.6112827538	74.78377734	74.413394996	66.9753934978	71.8590710661	69.5783229138	74.7292414305
ko02020	95.3064425886	89.238210399	96.7641523723	88.414695687	88.6734580761	91.0519251508	71.0054585838	87.4068571999	63.6842394666	64.6703996791	60.1165398206	79.8476673679
ko02030	28.2429284871	26.396282334	28.4291340073	24.3680760252	26.3280327211	26.5423795506	15.3947120754	25.8985560287	12.6794453227	11.8527002638	10.0350095135	21.1986493892
ko02040	29.7838448308	28.0324110297	30.1277973418	26.6777654632	27.7717742398	28.267247661	15.3147532344	27.0930429864	12.5573407107	11.5648263841	9.49014677902	22.3474287129
ko02060	2.76036637172	2.72394907177	2.91807717066	2.3962553352	2.62340169339	2.53854673701	1.4743572047	2.44227442108	1.33447315967	1.15223595107	0.934574612666	2.11149610197
ko03030	16.2348882027	16.045949214	16.3223332955	15.7869691325	16.0648114524	16.1987087936	14.8337829868	15.7918884748	14.4341363668	14.376772024	14.2489671106	15.4497675323
ko03060	16.1346125951	16.1116248192	16.30368435	15.9673402976	16.0401559603	16.1102334664	15.6461331894	16.1038894064	15.5016152313	15.4594998997	15.403723838	15.8463238284
ko03070	36.7154195246	35.027716528	38.5326971866	34.7350201618	34.9958716385	35.7545979189	25.3393356841	32.7902082779	23.4458725686	23.0975519459	21.7746398478	29.8988986512
ko03410	14.8198603311	14.5960120445	14.6220795941	13.8473601056	14.668947459	14.2435075345	12.3087550664	13.7506321533	11.6390301739	11.4404954726	10.9649497146	13.2551664398
ko03420	9.90248046915	9.64198496811	9.8090802378	9.44223830971	9.73977943847	9.6359701536	8.87337340478	9.28964266702	8.43905079387	8.45934564302	8.2722886654	9.12516131313
ko03430	19.7963197049	19.4957915452	19.7848460752	19.2893861862	19.6081688041	19.6196770527	19.0925073095	19.2250964866	18.5184548766	18.6824471285	18.5994835553	19.0307246274
ko03440	22.0446981785	21.6409180359	22.1191828543	21.5807295965	21.6596777585	21.9085371185	21.1908998507	21.4680928933	20.5157914633	20.7466641986	20.6416281598	21.1474004278
ko03450	2.56087199784	2.50091281978	2.49409292287	2.10111538189	2.60606639781	2.3436124632	1.32459123364	2.10417221187	1.1151281875	0.99416909621	0.863509105735	1.87471493981
ko04070	3.64653832605	3.62443986059	3.61594532167	3.50517603226	3.6588750215	3.54694103588	3.51626908936	3.51387410168	3.45221321053	3.49430021442	3.49112530579	3.48873017837
ko04112	18.2793791574	19.2518197122	19.2348631148	18.1633928361	19.1009919535	18.7538255268	16.7602113162	18.5747105403	16.9210083167	16.0971200271	16.0524191356	17.64240635
ko04146	10.2953353918	9.95514142779	10.622723314	10.0255853986	9.77391487166	10.0536885365	8.24697895622	9.35982832047	7.4998453502	7.56521202585	7.08543082359	9.13278059646
ko04614	0.531280435999	0.514047940821	0.559884887728	0.481170561464	0.521817243554	0.523915007724	0.246138208832	0.48705749268	0.227575778404	0.207074212905	0.162761620005	0.401400109605
ko04964	1.01264065317	0.801526898547	0.980801999318	1.03449902139	0.823531660328	0.921944679239	0.912148172316	0.757419483631	0.774915801773	0.862032794977	0.805055721663	0.831456502908
ko05134	6.96607746026	7.57896483866	7.435192548	6.97651331148	7.501729707	7.21893672214	6.09239437327	7.25976510514	6.32301189085	5.85586252642	5.78193802664	6.85906977566
ko05150	0.333961912261	0.417360172606	0.353477980991	0.334378758224	0.446704000306	0.36064880935	0.20200524526	0.418718392334	0.22336586707	0.172674965678	0.159445501495	0.348683861615
ko05204	9.15092110989	9.52303388103	9.75557575069	9.05937698965	9.24292349152	9.31273135329	7.80000250969	9.60398922012	7.63820537494	7.30670862449	7.02383799946	8.77274736154
